1	praṇamya śrīpatiṃ sarvān gurūṃścātha pravacmyaham | yathāmati hareḥ pūjāvidhiṃ vaiṣṇavasammatam ||	Having bowed to Śrīpati and to all the gurus, I shall now explain, according to my understanding, the procedure for worshipping Hari that is approved by the Vaiṣṇavas.
2	ādau devagṛhe nyasya kalaśān sapta pañca vā | āharet tulasīṃ dūrvāṃ puṣpāṇy adyatanāni ca ||	First, after placing seven or five water vessels in the shrine, one should bring tulasī, dūrvā grass, and flowers gathered that very day.
3	yathākālopapannāni svārāmavanajāny api | akrītāny apradattāni cauryāl labdhāni yāni ca ||	They should be seasonally available and grown in one’s own garden or grove; they must not be bought, received as an unsolicited gift, or obtained by theft.
4	śūdrāhṛtāni vā bhūmau patitāni tathaiva ca | eraṇḍārkajapatreṣu cāhṛtāni kare tathā ||	One must likewise reject those brought by a Śūdra, fallen on the ground, carried in leaves of the castor, arka, or japa plants, or carried directly in the hand.
5	paṭāhṛtāni yāni syur varjayet tāni yatnataḥ | arghyapādyādisambhārān yathāśakti vidhāya ca ||	One should carefully avoid flowers brought in the edge of a garment, and should prepare, according to one’s means, the materials for arghya, pādya, and the other offerings.
6	prakṣālya pāṇī pādau cāpy ācamya hariveśmanaḥ | upadvāraṃ samāgamya bhaktyā kuryāc chriyai namaḥ ||	After washing both hands and feet and performing ācamana, one should approach the subsidiary doorway of Hari’s shrine and devoutly offer obeisance to Śrī.
7	pūrve namo jayāyātha vijayāyātha dakṣiṇe | śriyai balāya prabalāyātha pratyak śriyai namaḥ ||	At the east one should bow to Jaya and Vijaya; at the south to Śrī, Bala, and Prabala; and at the west one should bow to Śrī.
8	nandāyātha sunandāya śriyai ca kumudāya ca | kumudākṣāyottare ca dvārapālāṃś ca pūjayet ||	One should worship Nanda and Sunanda, Śrī and Kumuda, and, at the north, Kumudākṣa—thus worshipping the guardians of the doors.
9	tadanujñām avāpyātha “vāyavā yāhi darśate” | anena vāyumantreṇa samudghāṭya kavāṭakam | kṛtvā tālatrayaṃ dvāre dehalīm aspṛśan viśet ||	Then, after obtaining their permission, one should open the door with the Vāyu mantra beginning “O Vāyu, come, worthy to be seen,” clap three times at the doorway, and enter without touching the threshold.
10	dakṣiṇāṅghriṃ puraskṛtya “hy agnināgniḥ samidhyate” | anena vahnimantreṇa dīpān uddīpayet tataḥ ||	Entering with the right foot first, one should then kindle the lamps with the fire mantra beginning “By Agni, Agni is kindled.”
11	īkṣayā puṣpakṣepeṇa pārṣṇighātatrayeṇa ca | divyāntarikṣabhūmiṣṭhān vighnān uccāṭayet sudhīḥ ||	The wise worshipper should drive away obstacles situated in heaven, the intermediate region, and on earth by a penetrating gaze, by casting flowers, and by striking the heels three times.
12	apasarpantu ye bhūtā iti mantraṃ paṭhann api | bhūtān uccāṭya nārācamudrayā bandhayed diśaḥ ||	Reciting the mantra beginning “Let those beings withdraw,” one should expel the spirits and seal the directions with the Nārāca mudrā.
13	apaivetyādi yebhyaś ca evāpitara ṛcau paṭhet | nivārya mānuṣaṃ gandham ebhir mantraiś tu pūjakaḥ ||	The worshipper should recite the ṛks beginning “Apa eva” and “Yebhyaś ca,” and with these mantras remove the merely human scent from the place.
14	kalpayitvā javanikāṃ devam ātmānam antarā | āruhya vedikāṃ paścād brahmapārastavaṃ paṭhet ||	After placing a curtain between the deity and oneself, one should ascend the platform and then recite the Brahmapāra hymn.
15	āgamārthaṃ tu devānāṃ gamanārthaṃ tu rakṣasām | kuru ghaṇṭāravaṃ tatra devatāhvānalāñchanam ||	Ring the bell there to bring the gods and send away the demons; its sound is the sign by which the deities are invited.
16	ajñānāj jñānato vāpi kāṃsyaghaṇṭāṃ na vādayet | rākṣasānāṃ piśācānāṃ taddeśe vasatir bhavet ||	If, whether through ignorance or knowingly, one does not sound the bronze bell, that place becomes a dwelling for Rākṣasas and Piśācas.
17	tasmāt sarvaprayatnena ghaṇṭām āvādayet tataḥ | tato javanikāṃ tyaktvā nirmālyaṃ visṛjet tataḥ ||	Therefore one must make every effort to ring the bell. Then one should remove the curtain and dispose of the previous offerings.
18	snānapātraṃ tathā pīṭhaṃ yathāsthānaṃ nidhāya ca | sauvarṇaṃ maṇṭapaṃ dhyāyed dhema-ratnopa-maṇḍitam ||	Having placed the bathing vessel and the seat in their proper locations, one should visualize a golden pavilion adorned with gold and jewels.
19	adhyāsitāsane svastho ’pakrāmantv iti pūrvakān | mantrān udīrya bhūtāni mudrayā choṭikākhyayā ||	Seated firmly on the prepared seat, one should utter the mantras beginning “Let them depart” and, using the mudrā called Choṭikā, remove the beings—
20	utsādyāsanamantrena pṛthivīṃ prārthayet tataḥ | āsane maṇḍale cendoḥ kūrmaskandhe ’ham āsthitaḥ ||	—driving them away with the Āsana mantra. One should then address the Earth: “I am seated upon the seat, within the lunar circle, upon the back of the Tortoise.”
21	kalpayitvaivam āsīno vyāhared bhūr bhuvaḥ svar om | athāsanam upaspṛśya maṇḍūkāya namas tataḥ ||	Having formed this visualization and taken one’s seat, one should pronounce “bhūr, bhuvaḥ, svaḥ, om”; then, touching the seat, say, “Obeisance to Maṇḍūka.”
22	kūrmāyātha varāhāya śeṣāyātha namas tataḥ | namaḥ kālāgnirudrāya vajrāya ca namo namaḥ ||	Then: “Obeisance to Kūrma, to Varāha, and to Śeṣa; obeisance to Kālāgnirudra and repeated obeisance to Vajra.”
23	sānusvāraṃ cādivarṇaṃ praṇavādim udīrya ca | namo’ntam iti caiteṣu ṣaṭsu caiva japed budhaḥ ||	For each of these six, the wise person should recite the initial letter with anusvāra, preceded by the praṇava and followed by “namaḥ.”
24	ukteṣu vakṣyamāṇeṣu sthāneṣv anyeṣu sarvaśaḥ | pūjāvidhau ca devānāṃ pīṭhāvaraṇayor vadet ||	This same formula should be spoken for the deities already named, for those yet to be named, and everywhere else in the worship of the seat and its enclosures.
25	tattannāma caturthyantaṃ praṇavādi namo’ntakam | tato’strāya phaḍ ity uktvā diśo baddheṣumudrayā ||	One should put each name in the dative case, prefix it with the praṇava, and end it with “namaḥ.” Then, saying “to the missile, phaṭ,” one should bind the directions with the Baddheṣu mudrā.
26	prākārāvasthitaṃ vahniṃ dhyātvā mudrāṃ sudarśanīm | darśayed atha cenādidikṣu badhnāmi cāṣṭasu ||	Visualizing fire stationed as a surrounding wall, one should display the Sudarśana mudrā and declare “I bind [them]” in all eight directions in the prescribed sequence.
27	namaś cakrāya svāheti mantram enam udīrayet | tatas tithyādi saṅkīrtya sthitaṃ deśaṃ ca saṃsmaret ||	One should utter the mantra “Obeisance to the Discus, svāhā.” Then one should state the lunar date and the other calendrical particulars and recall the place where one is situated.
28	anantakalyāṇaguṇaikasindhuśrīviṣṇunā preritamanaso’ham | tasyaiva vīryeṇa balena tejasā sañjīvitasvāntavapuś cidindriyaḥ ||	“My mind is impelled by Śrī Viṣṇu, the unique ocean of infinite auspicious qualities; by His own potency, strength, and radiance my inner being, body, consciousness, and senses are enlivened.”
29	prītyartham asyaiva karomi pūjāvidhiṃ pradiṣṭaṃ khalu tantrasāre | brahmāṇḍasāhasrapater dayālor bhaktyā yathāśakti yathaiva samyak ||	“For the pleasure of that very compassionate Lord of thousands of cosmic eggs, I perform with devotion, according to my ability and exactly as prescribed, the procedure of worship taught in the Tantrasāra.”
30	vāyvagnivaruṇānāṃ ca bījāni yaravāḥ kramāt | pratyekaṃ sampuṭīkṛtya praṇavena ca bindunā ||	The seed syllables of Vāyu, Agni, and Varuṇa are respectively ya, ra, and va; each should be enclosed by the praṇava and furnished with the bindu.
31	ebhiḥ kāryaṃ kramāt ṣoḍhā karasandhiṣu śodhanam | tataḥ sarvān gurūn natvā hṛtpadmādhiṣṭhitaṃ prabhum ||	With these, purification should be performed successively in six ways at the joints of the hands. Then, bowing to all the gurus, one should take the Lord who resides in the lotus of the heart—
